,location,url,lat,lng,text
258,Voorhout,/locatie/vh001,52.2237,4.4842,4 fietsen beschikbaar
259,Voorschoten,/locatie/vst001,52.12624,4.43502,Geen actuele beschikbaarheid.
260,Vriezenveen,/locatie/vz001,52.40158,6.60089,4 fietsen beschikbaar
261,Vroomshoop,/locatie/vhp001,52.45748,6.57211,3 fietsen beschikbaar
262,Vught,/locatie/Vg001,51.6559,5.292095,Geen actuele beschikbaarheid.
263,Waalwijk,/locatie/ht002,51.686951,5.071715,4 fietsen beschikbaar
264,Weert,/locatie/wt001,51.2493,5.70558,11 fietsen beschikbaar
265,Weesp,/locatie/wp001,52.31266,5.04215,18 fietsen beschikbaar
266,Westervoort,/locatie/wtv001,51.96271,5.96851,2 fietsen beschikbaar
267,Wijchen,/locatie/wc001,51.81136,5.72893,Geen actuele beschikbaarheid.
268,Wijhe,/locatie/wh001,52.39079,6.13632,1 fietsen beschikbaar
269,Winschoten,/locatie/ws001,53.13925,7.03468,6 fietsen beschikbaar
270,Winsum,/locatie/Wsm001,53.329908,6.519858,3 fietsen beschikbaar
271,Winterswijk,/locatie/ww001,51.96775,6.71545,5 fietsen beschikbaar
272,Woerden,/locatie/wd001,52.08536,4.89283,15 fietsen beschikbaar
273,Wolfheze,/locatie/wf001,52.0057,5.79213,3 fietsen beschikbaar
274,Zaandam,/locatie/ZD003,52.438795,4.815877,8 fietsen beschikbaar
275,Zaltbommel,/locatie/zbm001,51.80812,5.26288,Geen actuele beschikbaarheid.
276,Zandvoort,/locatie/zvt001,52.375859,4.531626,5 fietsen beschikbaar
277,Zeist,/locatie/db002,52.08909,5.24928,23 fietsen beschikbaar
278,Zevenaar,/locatie/zv001,51.92322,6.07304,1 fietsen beschikbaar
279,Zevenbergen,/locatie/Zvb001,51.641976,4.609567,4 fietsen beschikbaar
280,Zoetermeer Centrum West,/locatie/ztm002,52.06024,4.48739,20 fietsen beschikbaar
281,Zoetermeer Driemanspolder,/locatie/ztm003,52.04909,4.47663,11 fietsen beschikbaar
282,Zoetermeer Oost,/locatie/ztmo001,52.04661,4.49133,3 fietsen beschikbaar
283,Zuidhorn,/locatie/Zh001,53.248163,6.406382,7 fietsen beschikbaar
284,Zutphen,/locatie/zp001,52.14475,6.19585,81 fietsen beschikbaar
285,Zwijndrecht,/locatie/zwd002,51.81608,4.64041,23 fietsen beschikbaar
286,Zwolle,/locatie/zl004,52.505809,6.090895,159 fietsen beschikbaar
287,Zwolle Hanzeland/Zuidzijde,/locatie/zl002,52.50499,6.09106,12 fietsen beschikbaar
